,Date,Low,Open,Volume,High,Close,Adjusted Close
0,2/1/70,1.21875,1.25,1195200,1.253472209,1.21875,0.407598168
1,5/1/70,1.1875,1.21875,964800,1.222222209,1.189236164,0.39772746
2,6/1/70,1.184027791,1.189236164,1036800,1.211805582,1.211805582,0.405275583
3,7/1/70,1.203125,1.211805582,331200,1.215277791,1.206597209,0.403533638
4,8/1/70,1.206597209,1.206597209,460800,1.225694418,1.215277791,0.406436741
5,9/1/70,1.222222209,1.222222209,748800,1.239583373,1.222222209,0.408759236
6,12/1/70,1.201388836,1.222222209,864000,1.222222209,1.201388836,0.40179196
7,13-01-1970,1.204861164,1.204861164,849600,1.222222209,1.211805582,0.405275583
8,14-01-1970,1.211805582,1.211805582,619200,1.232638836,1.229166627,0.411081791
9,15-01-1970,1.227430582,1.229166627,1209600,1.232638836,1.230902791,0.411662459
10,16-01-1970,1.225694418,1.230902791,734400,1.230902791,1.229166627,0.411081791
11,19-01-1970,1.211805582,1.227430582,1180800,1.227430582,1.213541627,0.405856192
12,20-01-1970,1.192708373,1.213541627,763200,1.213541627,1.213541627,0.405856192
13,21-01-1970,1.210069418,1.213541627,878400,1.21875,1.21875,0.407598168
14,22-01-1970,1.211805582,1.21875,360000,1.222222209,1.222222209,0.408759236
15,23-01-1970,1.213541627,1.222222209,979200,1.225694418,1.215277791,0.406436741
16,26-01-1970,1.208333373,1.215277791,979200,1.215277791,1.215277791,0.406436741
17,27-01-1970,1.201388836,1.210069418,532800,1.210069418,1.201388836,0.40179196
18,28-01-1970,1.135416627,1.190972209,1497600,1.190972209,1.135416627,0.379728049
19,29-01-1970,1.072916627,1.131944418,3585600,1.131944418,1.111111164,0.371599585
20,30-01-1970,1.076388836,1.097222209,2808000,1.097222209,1.097222209,0.366954476
21,2/2/70,1.109375,1.109375,1612800,1.152777791,1.152777791,0.385534286
22,3/2/70,1.145833373,1.152777791,2692800,1.201388836,1.145833373,0.383211821
23,4/2/70,1.081597209,1.133680582,2793600,1.133680582,1.095486164,0.366373986
24,5/2/70,1.092013836,1.095486164,1886400,1.145833373,1.145833373,0.383211821
25,6/2/70,1.125,1.138888836,705600,1.138888836,1.131944418,0.37856698
26,9/2/70,1.159722209,1.159722209,1684800,1.190972209,1.182291627,0.395405024
27,10/2/70,1.201388836,1.201388836,2505600,1.215277791,1.204861164,0.402953178
28,11/2/70,1.189236164,1.201388836,2232000,1.201388836,1.194444418,0.399469227
29,12/2/70,1.143229127,1.194444418,3369600,1.194444418,1.151041627,0.384953469
30,13-02-1970,1.111111164,1.146701336,1540800,1.146701336,1.125,0.376244217
31,16-02-1970,1.122395873,1.125,820800,1.130208373,1.122395873,0.37606886
32,17-02-1970,1.090277791,1.122395873,1915200,1.123263836,1.100694418,0.36879757
33,18-02-1970,1.104166627,1.104166627,878400,1.112847209,1.109375,0.371706039
34,19-02-1970,1.098958373,1.109375,576000,1.109375,1.1015625,0.369088262
35,20-02-1970,1.076388836,1.098958373,1396800,1.098958373,1.080729127,0.362107784
36,24-02-1970,1.050347209,1.080729127,3744000,1.085069418,1.057291627,0.35425514
37,25-02-1970,1.052083373,1.057291627,2822400,1.097222209,1.097222209,0.367634207
38,26-02-1970,1.064236164,1.086805582,1353600,1.086805582,1.076388836,0.360653609
39,27-02-1970,1.083333373,1.083333373,1627200,1.111111164,1.106770873,0.370833516
40,2/3/70,1.097222209,1.106770873,1051200,1.123263836,1.097222209,0.367634207
41,3/3/70,1.079861164,1.097222209,1468800,1.098958373,1.098958373,0.368215919
42,4/3/70,1.098958373,1.098958373,734400,1.118055582,1.109375,0.371706039
43,5/3/70,1.104166627,1.109375,892800,1.112847209,1.107638836,0.371124059
44,6/3/70,1.088541627,1.107638836,907200,1.107638836,1.092013836,0.365888894
45,9/3/70,1.079861164,1.088541627,273600,1.088541627,1.085069418,0.363562167
46,10/3/70,1.066840291,1.079861164,1353600,1.079861164,1.076388836,0.360653609
47,11/3/70,1.072916627,1.076388836,432000,1.090277791,1.085069418,0.363562167
48,12/3/70,1.0859375,1.0859375,388800,1.09375,1.088541627,0.364725649
49,13-03-1970,1.076388836,1.083333373,1339200,1.083333373,1.076388836,0.360653609
50,16-03-1970,1.057291627,1.076388836,806400,1.076388836,1.059027791,0.354836643
51,17-03-1970,1.053819418,1.059027791,1267200,1.0625,1.053819418,0.353091598
52,18-03-1970,1.055555582,1.055555582,748800,1.064236164,1.064236164,0.356581986
53,19-03-1970,1.067708373,1.067708373,1123200,1.072916627,1.067708373,0.35774523
54,20-03-1970,1.060763836,1.067708373,518400,1.067708373,1.067708373,0.35774523
55,23-03-1970,1.055555582,1.065972209,216000,1.065972209,1.059027791,0.354836643
56,24-03-1970,1.041666627,1.058159709,1670400,1.058159709,1.052951336,0.352800846
57,25-03-1970,1.0625,1.0625,2275200,1.100694418,1.086805582,0.364143759
58,26-03-1970,1.083333373,1.086805582,936000,1.09375,1.086805582,0.364143759
59,30-03-1970,1.079861164,1.086805582,1368000,1.092013836,1.081597209,0.362398922
60,31-03-1970,1.065972209,1.076388836,676800,1.076388836,1.072916627,0.359490573
61,1/4/70,1.0625,1.069444418,820800,1.069444418,1.065104127,0.356872827
62,2/4/70,1.045138836,1.059027791,792000,1.059027791,1.047743082,0.351055861
63,3/4/70,1.047743082,1.047743082,1008000,1.053819418,1.052083373,0.352510065
64,6/4/70,1.022569418,1.052083373,2275200,1.057291627,1.024305582,0.343202859
65,7/4/70,0.993055582,1.022569418,1526400,1.022569418,0.994791687,0.333313793
66,8/4/70,0.987847209,0.994791687,734400,0.996527791,0.993055582,0.332732171
67,9/4/70,0.993055582,0.993055582,820800,1.017361164,1.015625,0.340294451
68,10/4/70,1.011284709,1.015625,3312000,1.03125,1.013888836,0.33971262
69,13-04-1970,1.0,1.013888836,878400,1.013888836,1.006944418,0.337385863
70,14-04-1970,0.993055582,1.006944418,835200,1.024305582,1.022569418,0.342620939
71,15-04-1970,1.020833373,1.022569418,2217600,1.039930582,1.027777791,0.344366193
72,16-04-1970,1.015625,1.027777791,1252800,1.027777791,1.016493082,0.340585083
73,17-04-1970,1.013888836,1.016493082,950400,1.017361164,1.015625,0.340294451
74,20-04-1970,1.008680582,1.015625,1425600,1.017361164,1.013888836,0.33971262
75,21-04-1970,1.006944418,1.013888836,518400,1.020833373,1.0078125,0.337676555
76,22-04-1970,1.0,1.006944418,561600,1.006944418,1.000868082,0.335349798
77,23-04-1970,0.96875,1.000868082,763200,1.001736164,0.971354187,0.325461
78,24-04-1970,0.966145813,0.971354187,792000,0.972222209,0.967013896,0.324006706
79,27-04-1970,0.954861104,0.966145813,705600,0.966145813,0.956597209,0.320516646
80,28-04-1970,0.951388896,0.956597209,676800,0.958333313,0.951388896,0.318771452
81,29-04-1970,0.934027791,0.951388896,2534400,0.986111104,0.986111104,0.330405444
82,30-04-1970,0.986111104,0.986111104,532800,1.006944418,0.993055582,0.332732171
83,1/5/70,0.986111104,0.993055582,316800,0.993055582,0.987847209,0.330987096
84,4/5/70,0.956597209,0.975694418,576000,0.975694418,0.956597209,0.320516646
85,5/5/70,0.946180582,0.953125,950400,0.953125,0.946180582,0.317026287
