id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1429227920439062528,1429227920439062528,2021-08-21 16:44:24 Pacific Daylight Time,2021-08-21,16:44:24,-0700,586116334,askwarrenbuffet,Ask Warren HQ,,$NSAV CEO TO Detail Significant Partnership Agreement With Leading US Company As Early As Monday  https://t.co/Mv3xmUrTi2  $TXN $APHD $HPNN $JNJ $S $HPE $COBI $PURA $AMX $MTG $BDCI $CLBK $ON $EVSV $IPG,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,1,[],"['nsav', 'txn', 'aphd', 'hpnn', 'jnj', 's', 'hpe', 'cobi', 'pura', 'amx', 'mtg', 'bdci', 'clbk', 'on', 'evsv', 'ipg']",https://twitter.com/askwarrenbuffet/status/1429227920439062528,False,,0,,,,,,,,[],,,,
1429212419155501062,1429212419155501062,2021-08-21 15:42:48 Pacific Daylight Time,2021-08-21,15:42:48,-0700,1263277845549367296,justdapper,Just Dapper,,"Possible $JNJ short after divi, wanna see it below monthly resistance before I make a move  https://t.co/KSTCyyiD7A",en,[],[],['https://pbs.twimg.com/media/E9WU7QwWUAUW7sn.jpg'],0,1,1,[],['jnj'],https://twitter.com/JustDapper/status/1429212419155501062,False,,1,https://pbs.twimg.com/media/E9WU7QwWUAUW7sn.jpg,,,,,,,[],,,,
1429208570080505856,1429208570080505856,2021-08-21 15:27:31 Pacific Daylight Time,2021-08-21,15:27:31,-0700,586116334,askwarrenbuffet,Ask Warren HQ,,$JNJ to announce new joint venture with $KIRK as soon as Tuesday  https://t.co/Mv3xmUrTi2  $GRDO $ASTI $NPWZ $BTSC $NVCN $HMPQ,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,0,[],"['jnj', 'kirk', 'grdo', 'asti', 'npwz', 'btsc', 'nvcn', 'hmpq']",https://twitter.com/askwarrenbuffet/status/1429208570080505856,False,,0,,,,,,,,[],,,,
1429205672093265926,1429205672093265926,2021-08-21 15:16:00 Pacific Daylight Time,2021-08-21,15:16:00,-0700,1341546568751693825,prolifictraders,The Prolific trader,,"Time is the cause Volume is the fuel and Price is the result.  Of all these three, Time is the greatest factor in determining stock market direction.   — Benjamin Lee  $AAPL $MSFT $GOOG $GOOGL $AMZN $FB $AMC $BABA $TSLA $BRK.A $BRK.B $NDVA $JPM $JNJ $WMT $UNH $MA $HD $BAC $PG",en,[],[],[],0,2,2,[],"['aapl', 'msft', 'goog', 'googl', 'amzn', 'fb', 'amc', 'baba', 'tsla', 'brk.a', 'brk.b', 'ndva', 'jpm', 'jnj', 'wmt', 'unh', 'ma', 'hd', 'bac', 'pg']",https://twitter.com/ProlificTraders/status/1429205672093265926,False,,0,,,,,,,,[],,,,
1429168819109466120,1428813127534141446,2021-08-21 12:49:33 Pacific Daylight Time,2021-08-21,12:49:33,-0700,1266997569571352576,jarahmacfarlane,Jarah Macfarlane,,@huntdividends $JNJ it’s practically a healthcare ETF,en,[],[],[],0,0,0,[],['jnj'],https://twitter.com/JarahMacfarlane/status/1429168819109466120,False,,0,,,,,,,,"[{'screen_name': 'huntdividends', 'name': 'The Dividend Hunter', 'id': '1392338600294076416'}]",,,,
1429166078530310144,1429166078530310144,2021-08-21 12:38:40 Pacific Daylight Time,2021-08-21,12:38:40,-0700,980467278385958912,llcbillionaire,Billionaireclubcollc.com,,$JNJ new highs and 200 MA coming,en,[],[],[],0,1,0,[],['jnj'],https://twitter.com/LlcBillionaire/status/1429166078530310144,False,,0,,,,,,,,[],,,,
1429155151680573445,1429155151680573445,2021-08-21 11:55:15 Pacific Daylight Time,2021-08-21,11:55:15,-0700,2413221252,ray_hessel,Ray 〽️ Hessel®,,Can you imagine for a brief second if when the sheep going to get jabbed a 3rd time in 6 months for a booster actually had a fleeting moment where their brain came disconnected from their MSM-brainwashing? #TheMatrix Better they just get booster. $MRNA $JNJ $PFE,en,[],[],[],2,0,1,['thematrix'],"['mrna', 'jnj', 'pfe']",https://twitter.com/ray_hessel/status/1429155151680573445,False,https://twitter.com/simplytehbst/status/1428997070644518919,0,,,,,,,,[],,,,
1429151016285474816,1429073510714982404,2021-08-21 11:38:49 Pacific Daylight Time,2021-08-21,11:38:49,-0700,52320659,scorp99cam,Chris #GetVaccinated,,"@European_DGI I own $KO, $JNJ, $MO, and $MMM been loading up on $LOW lately. $CL never gets cheap enough to hit buy for me",en,[],[],[],1,0,1,[],"['ko', 'jnj', 'mo', 'mmm', 'low', 'cl']",https://twitter.com/scorp99cam/status/1429151016285474816,False,,0,,,,,,,,"[{'screen_name': 'European_DGI', 'name': 'European Dividend Growth Investor 🇪🇺', 'id': '4765301379'}]",,,,
1429150193379840003,1429150193379840003,2021-08-21 11:35:33 Pacific Daylight Time,2021-08-21,11:35:33,-0700,401575573,dividendc2,dividendc2,,Mis TOP5 mejores compañías largo plazo  MOAT  MOAT  1.- Procter &amp; Gamble $PG 2.- Johnson &amp; Johnson $JNJ 3.- Alphabet Inc $GOOGL 4.- Berkshire Hathaway $BRK.A 5.- Amazon $AMZN  MOAT  MOAT,en,[],[],[],2,8,65,[],"['pg', 'jnj', 'googl', 'brk.a', 'amzn']",https://twitter.com/dividendc2/status/1429150193379840003,False,,0,,,,,,,,[],,,,
1429127154927738884,1429127154927738884,2021-08-21 10:04:00 Pacific Daylight Time,2021-08-21,10:04:00,-0700,826154734478258178,equitydotguru,equity.guru,,"Johnson &amp; Johnson’s ketamine product deemed not unique enough for data protection, what could this mean for the psychedelics sector?  $JNJ | $FTRP | $NM.C | $CYBN | $BRAX",en,[],[],[],0,0,1,[],"['jnj', 'ftrp', 'nm.c', 'cybn', 'brax']",https://twitter.com/equitydotguru/status/1429127154927738884,False,,0,,,,,,,,[],,,,
